Beverage,Temperature,Calories,Total Fat(g),Saturated Fat(g),Trans Fat(g),Cholesterol,Sodium(mg),Total Carbs (g),Sugars(g),Protein(g),Caffeine (mg)
Coffee,Hot,5,0,0,0,0,10,0,0,1,320
Café Americano,Hot,17,0,0,0,0,8,3,0,1,225
Cappuccino,Hot,115,4,3,0,17,86,12,10,8,150
Café Au Lait,Hot,106,4,3,0,17,89,10,10,7,150
Caffe Latte,Hot,188,7,4,0,28,145,19,17,12,150
Caffe Mocha w/ Whipped Cream,Hot,335,15,8,0,49,130,43,33,13,175
Caramel Macchiato,Hot,240,7,4,0,26,131,34,31,11,150
Vanilla Latte,Hot,252,6,4,0,26,136,36,34,12,150
Chocolate Mocha w/ Whipped Cream,Hot,471,18,12,0,51,243,63,59,15,150
Chai Tea Latte,Hot,236,4,3,0,16,95,44,42,7,100
Signature Hot Chocolate w/ Whipped Cream,Hot,537,31,19,1,57,149,59,47,15,20
Classic Hot Chocolate w/ Whipped Cream,Hot,323,15,8,0,49,129,41,33,13,25
Iced Coffee,Cold ,4,0,0,0,0,8,0,0,1,260
Iced Café Americano,Cold ,17,0,0,0,0,9,3,0,1,225
Iced Caffe Latte,Cold ,126,5,3,0,18,99,13,11,8,150
Iced Caffe Mocha w/ Whipped Cream,Cold ,316,17,10,0,55,88,39,28,9,175
Iced Caramel Macchiato,Cold ,231,6,4,0,25,126,33,30,10,150
Iced Chai Tea Latte,Cold ,238,4,3,0,17,97,44,42,7,100
Iced Vanilla Latte,Cold ,187,4,3,0,16,88,30,28,7,150
